Date,Price,Open,High,Low,Volume,ChangePct
2023-06-12,73.98,74.41,74.47,73.68,7560000.0,-0.12
2023-06-13,74.35,73.9,74.69,73.75,8580000.0,0.5
2023-06-14,73.4,74.9,74.95,73.29,8890000.0,-1.28
2023-06-15,74.36,73.74,74.52,73.41,10100000.0,1.31
2023-06-16,75.59,74.75,76.42,74.72,23050000.0,1.65
2023-06-20,74.76,75.63,76.17,74.5,7800000.0,-1.1
2023-06-21,75.78,74.45,76.03,73.72,7180000.0,1.36
2023-06-22,75.13,76.07,76.39,75.0,6980000.0,-0.86
2023-06-23,74.17,75.29,75.99,74.0,9080000.0,-1.28
2023-06-26,74.29,74.09,74.79,73.81,5670000.0,0.16
2023-06-27,73.91,74.56,74.8,73.21,5980000.0,-0.51
2023-06-28,73.44,73.95,74.21,73.22,8740000.0,-0.64
2023-06-29,72.81,72.68,73.6,72.51,7190000.0,-0.86
2023-06-30,74.2,72.94,74.31,72.78,9260000.0,1.91
2023-07-03,74.38,73.87,74.47,73.5,2480000.0,0.24
2023-07-05,74.95,73.98,75.59,73.92,8450000.0,0.77
2023-07-06,73.02,74.29,74.29,73.0,7270000.0,-2.58
2023-07-07,72.05,72.53,72.72,71.89,7510000.0,-1.33
2023-07-10,71.71,71.8,72.49,71.1,7700000.0,-0.47
2023-07-11,72.19,71.64,72.23,70.85,6620000.0,0.67
2023-07-12,73.47,72.54,73.57,72.19,9710000.0,1.77
2023-07-13,73.71,73.52,73.93,73.38,6060000.0,0.33
2023-07-14,73.2,73.48,73.75,72.79,6460000.0,-0.69
2023-07-17,72.66,72.96,73.42,72.45,5150000.0,-0.74
2023-07-18,72.05,72.77,73.08,71.3,7240000.0,-0.84
2023-07-19,72.1,72.36,72.93,72.04,7460000.0,0.07
2023-07-20,74.1,72.1,74.13,71.64,9220000.0,2.77
2023-07-21,75.9,74.42,76.27,74.3,11880000.0,2.43
2023-07-24,75.5,75.88,76.67,75.37,8610000.0,-0.53
2023-07-25,75.44,75.76,75.94,74.62,8850000.0,-0.08
2023-07-26,74.37,74.89,76.19,73.88,7240000.0,-1.42
2023-07-27,73.27,73.94,74.89,73.19,10190000.0,-1.48
2023-07-28,72.85,73.75,74.38,72.48,6230000.0,-0.57
2023-07-31,73.3,73.4,74.47,73.04,10880000.0,0.62
2023-08-01,72.17,73.32,73.81,72.09,6730000.0,-1.54
2023-08-02,71.91,71.5,72.35,71.46,6590000.0,-0.36
2023-08-03,70.1,71.2,71.5,70.06,9080000.0,-2.52
2023-08-04,69.17,70.55,70.69,69.01,9140000.0,-1.33
2023-08-07,68.64,69.5,69.72,68.61,8400000.0,-0.77
2023-08-08,68.71,68.34,68.95,67.91,8890000.0,0.1
2023-08-09,68.92,68.79,69.58,68.51,7450000.0,0.31
2023-08-10,68.29,69.3,69.66,68.15,7960000.0,-0.91
2023-08-11,68.92,68.3,68.94,68.16,6520000.0,0.92
2023-08-14,68.56,68.85,68.93,68.3,8020000.0,-0.52
2023-08-15,67.35,68.15,68.23,67.17,7700000.0,-1.76
2023-08-16,67.56,67.72,67.95,67.31,6430000.0,0.31
2023-08-17,67.51,67.34,68.15,67.29,6680000.0,-0.07
2023-08-18,67.83,67.34,68.06,67.33,6290000.0,0.47
2023-08-21,67.08,67.75,67.8,66.67,6860000.0,-1.11
2023-08-22,67.52,67.11,67.82,66.76,7370000.0,0.66
2023-08-23,67.89,68.07,68.14,67.3,7720000.0,0.55
2023-08-24,67.22,67.89,68.41,67.08,9240000.0,-0.99
2023-08-25,67.96,67.3,68.21,67.23,10110000.0,1.1
2023-08-28,68.02,68.25,68.6,67.98,7150000.0,0.09
2023-08-29,67.51,67.78,67.85,67.11,11210000.0,-0.75
2023-08-30,67.09,67.36,67.73,66.82,7460000.0,-0.62
2023-08-31,66.8,67.5,67.79,66.73,11800000.0,-0.43
2023-09-01,66.87,67.34,67.57,66.45,8300000.000000001,0.1
2023-09-05,66.2,66.82,67.27,65.81,10000000.0,-1.0
2023-09-06,65.69,66.03,66.41,65.36,9250000.0,-0.77
2023-09-07,66.25,66.28,66.97,65.87,9980000.0,0.85
2023-09-08,66.83,66.26,67.0,66.07,7490000.0,0.88
2023-09-11,67.53,67.0,67.89,66.95,7980000.0,1.05
2023-09-12,67.73,67.5,68.03,67.11,7170000.0,0.3
2023-09-13,68.43,67.88,68.77,67.88,8930000.0,1.03
2023-09-14,69.28,68.9,69.35,68.42,7940000.0,1.24
2023-09-15,68.64,69.34,69.89,68.6,18390000.0,-0.92
2023-09-18,68.24,68.81,68.86,67.91,7530000.0,-0.58
2023-09-19,67.59,68.05,68.16,67.35,8220000.000000001,-0.95
2023-09-20,67.35,68.07,68.14,67.24,5800000.0,-0.36
2023-09-21,66.91,67.11,67.71,66.77,9460000.0,-0.65
2023-09-22,67.7,66.5,68.39,66.35,11800000.0,1.18
2023-09-25,67.47,67.22,67.5,66.78,8660000.0,-0.34
2023-09-26,65.34,67.12,67.19,65.27,9040000.0,-3.16
2023-09-27,59.96,64.7,64.99,59.53,25610000.0,-8.23
2023-09-28,57.08,60.3,60.7,56.98,31150000.0,-4.8
2023-09-29,57.29,57.67,58.76,56.98,19050000.0,0.37
2023-10-02,52.15,56.08,56.38,50.18,54020000.0,-8.97
2023-10-03,52.78,52.07,53.11,50.49,36260000.0,1.21
2023-10-04,50.62,53.71,53.95,50.54,28470000.0,-4.09
2023-10-05,49.45,49.81,50.13,48.24,29910000.0,-2.31
2023-10-06,50.24,49.06,50.5,47.15,24720000.0,1.6
2023-10-09,49.32,49.69,50.42,48.38,20640000.0,-1.83
2023-10-10,51.58,49.68,51.62,49.52,23160000.0,4.58
2023-10-11,53.54,52.05,53.57,51.7,22400000.0,3.8
2023-10-12,53.0,53.07,53.97,52.23,27970000.0,-1.01
2023-10-13,54.49,53.53,55.25,53.5,22320000.0,2.81
2023-10-16,54.38,54.49,55.04,53.56,17090000.0,-0.2
